Board
JobName,PCBResult,PCBName
C:\KohYoung\KY_JOB\627-351-12A_BOT_JOB_DS-406546\627-351-12A_BOT_JOB_DS-406546.mdb,GOOD,627-351-12ABOT_JOB_DS-406546
Panel 
 ArrayBarcode,PanelResult,PanelInspectionDate,PanelInspectionStartTime,PanelInspectionEndTime 
508BFD5,GOOD,2026-06-12,14:09:02,14:09:31
Pad 
 ComponentID,PadNo,Volume,Height,Area,OffsetX,OffsetY,PadResult 
C1592,2096,103.4656,142.807,92.01319,-0.002818198,0.001556245,GOOD,
C1593,2097,123.3398,145.6419,107.5525,-0.007058302,-0.01884321,GOOD,
C1593,2098,119.664,152.7949,99.46226,-0.004229135,0.0004244249,GOOD,
C159_A,2099,114.0926,137.6808,105.2416,0.01166304,-0.00957162,GOOD,
C159_A,2100,119.3829,143.362,105.7576,0.004007199,-0.004961435,GOOD,
C159_B,2101,116.5471,140.225,105.5553,0.006568076,0.01588806,GOOD,
C159_B,2102,121.7233,146.6606,105.4056,0.008883861,-0.001119611,GOOD,
C15_A,2103,111.5581,136.8685,103.5145,0.007588787,-0.003763754,GOOD,
C15_A,2104,109.6685,135.7533,102.5971,0.009953342,-0.0008732483,GOOD,
C15_B,2105,116.2624,136.8124,107.9239,0.003007227,-0.01318659,GOOD,
C15_B,2106,108.3573,132.2112,104.0863,-0.001634092,-0.01027046,GOOD,
C1601,2107,116.0215,133.9372,110.0122,0.0020231,-0.003412504,GOOD,
C1601,2108,129.4836,151.2527,108.7215,0.004826672,-0.005540763,GOOD,
C1603_A,2109,122.8954,156.4574,99.75699,0.01029724,-0.01683082,GOOD,
C1603_A,2110,113.6081,153.1601,94.20356,0.01471416,-0.01033511,GOOD,
C1603_B,2111,105.4754,138.6623,96.60429,-0.005686405,-0.00288563,GOOD,
C1603_B,2112,119.3646,149.191,101.61,-0.008443625,-0.01030461,GOOD,
C1604_A,2113,108.3516,138.4107,99.41895,-0.002075547,-0.00012441,GOOD,
C1604_A,2114,113.5808,145.1832,99.35566,0.003497453,-0.005927382,GOOD,
C1604_B,2115,106.5087,135.9788,99.47588,-0.001617029,4.633905E-05,GOOD,
C1604_B,2116,114.5345,146.6102,99.21464,-0.004920578,-0.006761604,GOOD,
C1605_A,2117,104.4834,146.4205,90.62527,0.006265661,-0.007425078,GOOD,
C1605_A,2118,116.3476,156.7401,94.2716,0.009636282,-0.009838725,GOOD,
C1605_B,2119,111.1761,159.0749,88.75924,0.005258377,-0.00254535,GOOD,
C1605_B,2120,111.8174,153.024,92.80114,0.003570619,-7.317532E-05,GOOD,
C1606_A,2121,126.9598,155.6887,103.5649,0.01994083,-0.0175187,GOOD,
C1606_A,2122,136.6771,162.2367,106.9918,0.01323495,-0.02003356,GOOD,
C1606_B,2123,122.5912,151.1272,103.0197,0.004424258,-0.01588074,GOOD,
C1606_B,2124,132.065,156.7574,106.995,0.01109721,-0.02173495,GOOD,
C1607_A,2125,119.849,151.1316,100.7124,0.009363118,-0.0107705,GOOD,
C1607_A,2126,136.2412,158.4773,109.1805,0.01216791,-0.02270088,GOOD,
C1607_B,2127,121.038,150.0678,102.4325,-0.001629217,-0.004549199,GOOD,
C1607_B,2128,138.0561,155.6849,112.6194,0.009201541,-0.003083215,GOOD,
C1608_A,2129,131.1328,161.0016,103.4391,0.01097281,-0.004150392,GOOD,
C1608_A,2130,133.5121,161.403,105.0541,0.01396907,-0.002531942,GOOD,
C1608_B,2131,125.6754,161.8911,98.58958,0.00811194,0.001873344,GOOD,
C1608_B,2132,122.0896,156.2705,99.22138,0.00479009,0.006022517,GOOD,
C160_A,2133,118.9485,143.0263,105.6201,0.00937043,-0.01411107,GOOD,
C160_A,2134,121.7128,149.9217,103.104,-0.008243646,-0.01116933,GOOD,
C160_B,2135,121.3782,151.6578,101.6435,0.0195384,-0.0007659231,GOOD,
C160_B,2136,131.4324,162.9961,102.4068,0.009577741,0.002133115,GOOD,
C161,2137,112.8999,148.4695,96.57395,-0.009941155,0.005066323,GOOD,
C161,2138,113.4801,150.5901,95.70329,-0.0072388,0.002883192,GOOD,
C1610_A,2139,112.7557,144.6812,98.97607,-0.00401573,-0.001518438,GOOD,
C1610_A,2140,128.4196,154.8995,105.2895,0.004805953,-0.003080777,GOOD,
C1610_B,2141,119.0501,141.5727,106.7958,0.002541377,0.004724824,GOOD,
C1610_B,2142,127.5265,147.5708,109.7498,0.009852124,0.01093272,GOOD,
C1611_A,2143,109.7864,140.1908,99.45643,0.01003992,-0.00880204,GOOD,
C1611_A,2144,128.2892,152.8946,106.5619,0.0117789,-0.00542001,GOOD,
C1611_B,2145,111.885,135.1187,105.1623,-0.001984079,0.008634948,GOOD,
C1611_B,2146,119.8616,140.2748,108.5186,0.001398729,0.004876071,GOOD,
C1612_A,2147,102.248,128.4072,101.1274,0.007391226,-0.005604187,GOOD,
C1612_A,2148,119.5048,143.9168,105.4575,0.009917977,-0.01006678,GOOD,
C1612_B,2149,115.7064,138.8288,105.8477,-0.0008072859,0.004893136,GOOD,
C1612_B,2150,124.8837,145.1826,109.2433,0.007287571,0.001139133,GOOD,
C1613_A,2151,111.9038,140.3436,101.2642,0.0009414306,-0.006333523,GOOD,
C1613_A,2152,121.1236,151.5584,101.4968,0.002754782,-0.0101363,GOOD,
C1613_B,2153,111.7236,133.153,106.5608,0.001221908,0.01068879,GOOD,
C1613_B,2154,118.2635,143.9475,104.3399,0.002157244,0.006990901,GOOD,
C1614_A,2155,106.4316,135.6087,99.67506,0.01046309,-0.009287452,GOOD,
C1614_A,2156,121.0019,147.2359,104.3716,0.01220693,-0.006660373,GOOD,
C1614_B,2157,111.5201,138.1413,102.5258,-0.001765799,0.0005585863,GOOD,
C1614_B,2158,124.6658,145.1519,109.0757,0.007110749,-0.003195416,GOOD,
C1615_A,2159,116.929,149.5845,99.27486,-0.004190114,-0.0104778,GOOD,
C1615_A,2160,125.3326,149.3707,106.562,0.004655945,-0.006540859,GOOD,
C1615_B,2161,115.4031,138.8734,105.5364,0.002881614,0.002044093,GOOD,
C1615_B,2162,119.0052,139.6303,108.2406,0.004677902,0.008256863,GOOD,
C1616_A,2163,113.95,142.8065,101.3375,-0.001049961,-0.001378182,GOOD,
C1616_A,2164,124.2346,152.4378,103.5032,0.009372868,-0.005096816,GOOD,
C1616_B,2165,111.2128,136.8937,103.1751,0.004465716,-0.01131324,GOOD,
C1616_B,2166,125.1215,145.6706,109.0847,0.01090942,-0.01484284,GOOD,
C1617_A,2167,107.3086,141.15,96.55119,-0.00510593,-0.008314191,GOOD,
C1617_A,2168,118.8867,148.6145,101.5958,-0.003290142,-0.008036118,GOOD,
C1617_B,2169,108.1322,135.9743,100.9955,0.003531598,-0.005622471,GOOD,
C1617_B,2170,111.1037,138.1234,102.1563,0.005268127,-0.009347199,GOOD,
C1618_A,2171,120.6651,158.1832,96.87801,0.007287571,-0.02215572,GOOD,
C1618_A,2172,127.7829,158.9602,102.0911,0.01344348,-0.01738697,GOOD,
C1618_B,2173,129.1188,160.6746,102.0577,0.0120606,-0.00798854,GOOD,
C1618_B,2174,127.4614,150.071,107.8663,0.003714514,0.001163532,GOOD,
C1619_A,2175,111.1018,144.2895,97.78896,-0.006560763,-0.004766288,GOOD,
C1619_A,2176,113.9206,144.7491,99.95172,-0.005590063,-0.008532499,GOOD,
C1619_B,2177,113.8501,138.4703,104.4192,0.005249825,-0.007034802,GOOD,
C1619_B,2178,114.119,134.8147,107.504,0.007061978,-0.000829347,GOOD,
C161_A,2179,116.2491,137.595,107.2977,0.01302397,-0.008095865,GOOD,
C161_A,2180,122.123,148.5966,104.3739,-0.005180316,-0.005190733,GOOD,
C161_B,2181,114.7534,142.6828,102.1405,0.01228741,-0.007655594,GOOD,
C161_B,2182,124.9746,160.3189,99.00124,0.01455075,-0.004699207,GOOD,
C162,2183,105.0702,137.3001,97.188,-0.00970701,-0.0125597,GOOD,
C162,2184,115.845,152.6576,96.37466,-0.007009531,-0.005293182,GOOD,
C1620_A,2185,115.0499,146.0891,100.0166,0.002565773,-0.005956656,GOOD,
C1620_A,2186,127.6819,152.4178,106.3891,0.00905337,-0.01046317,GOOD,
C1620_B,2187,110.5823,133.8694,104.9079,0.006585159,0.004916315,GOOD,
C1620_B,2188,127.4574,147.3331,109.8672,0.01537511,0.001384277,GOOD,
C1621_A,2189,107.4344,144.3801,94.50172,-0.004771808,-0.002942959,GOOD,
C1621_A,2190,116.8414,150.8723,98.35376,-0.002991363,0.004935818,GOOD,
C1621_B,2191,112.9458,137.7449,104.1354,0.003743785,0.0082593,GOOD,
C1621_B,2192,117.6449,145.8322,102.4528,0.005477876,0.004527259,GOOD,
C1622_A,2193,110.2287,137.4331,101.8608,0.006992468,-0.01009484,GOOD,
C1622_A,2194,125.2691,159.5172,99.7333,0.01425321,-0.008294669,GOOD,
C1622_B,2195,113.5468,135.1085,106.7323,-0.000817056,-0.002046531,GOOD,
C1622_B,2196,124.0687,143.3174,109.9428,0.006480285,-0.005844435,GOOD,
C1623_A,2197,110.9327,138.4503,101.7582,0.002713324,-0.00885935,GOOD,
C1623_A,2198,127.5657,152.9113,105.9493,0.009952123,-0.004702884,GOOD,
C1623_B,2199,116.3871,143.5021,103.0031,-0.003724264,0.01235968,GOOD,
C1623_B,2200,130.1513,148.5349,111.2817,0.002017006,0.008598361,GOOD,
C1624_A,2201,109.4214,143.0126,97.16992,0.004358405,-0.00012441,GOOD,
C1624_A,2202,123.4618,152.8,102.6155,0.01001554,-0.005367576,GOOD,
C1624_B,2203,113.6612,138.0071,104.5959,-0.00792291,0.008130015,GOOD,
C1624_B,2204,119.9147,141.7877,107.4083,0.0001743841,0.004371137,GOOD,
C1625_A,2205,107.3686,149.3957,91.27313,-0.002901134,0.004585787,GOOD,
C1625_A,2206,116.086,156.6737,94.09953,-0.001096314,0.002408751,GOOD,
C1625_B,2207,107.7408,136.5178,100.2293,-0.003224288,-0.002677074,GOOD,
C1625_B,2208,117.0628,141.4999,105.0671,-0.001490197,-0.006306686,GOOD,
C1626_A,2209,109.0983,144.2745,96.03554,0.008994829,-0.01594417,GOOD,
C1626_A,2210,112.7626,151.4655,94.54856,0.008997266,-0.01513798,GOOD,
C1626_B,2211,119.6865,146.8367,103.5176,0.004920578,-0.006299373,GOOD,
C1626_B,2212,126.9783,150.6395,107.0518,0.001562145,-0.01213406,GOOD,
C1627_A,2213,104.7178,141.0142,94.31079,0.01294836,-0.003897915,GOOD,
C1627_A,2214,124.7999,157.6763,100.5198,0.01470441,-0.00450286,GOOD,
C1627_B,2215,104.2726,131.2729,100.8785,0.01049601,-0.0006476276,GOOD,
C1627_B,2216,111.9737,138.3599,102.7802,-0.007657078,0.00573711,GOOD,
C1628_A,2217,105.0457,148.433,89.87764,0.00227065,-0.002368507,GOOD,
C1628_A,2218,118.4057,156.3541,96.17604,0.004026699,-0.002978328,GOOD,
C1628_B,2219,107.2545,134.6283,101.1772,0.0002597381,0.001433054,GOOD,
C1628_B,2220,110.0292,140.826,99.22673,0.002079203,-0.002267276,GOOD,
C1629_A,2221,110.9918,142.9013,98.6412,-0.004929109,0.003695474,GOOD,
C1629_A,2222,118.7159,149.3848,100.9267,-0.003187705,7.313536E-06,GOOD,
C1629_B,2223,110.1879,141.0947,99.18066,-0.00247918,0.001096451,GOOD,
C1629_B,2224,110.2997,142.5227,98.28657,-0.0006963178,0.007360435,GOOD,
C162_A,2225,122.7996,144.516,107.9158,0.006872949,-0.007566553,GOOD,
C162_A,2226,124.16,152.7389,103.2371,0.002421878,-0.004656525,GOOD,
C162_B,2227,119.9535,144.6521,105.3154,0.0124362,-0.002048969,GOOD,
C162_B,2228,134.1679,164.3873,103.6535,0.007865608,0.0009037413,GOOD,
C163,2229,126.7342,154.4738,104.194,0.002924291,-0.02148491,GOOD,
C163,2230,121.8839,163.3121,94.7833,-0.01422759,0.001587957,GOOD,
C1630_A,2231,106.7238,134.78,100.5633,-0.0003438932,-0.00127817,GOOD,
C1630_A,2232,120.2371,144.403,105.7465,0.005329106,-0.004980958,GOOD,
C1630_B,2233,107.6866,134.543,101.6493,-0.005416897,0.003696693,GOOD,
C1630_B,2234,115.9613,139.9206,105.2531,0.001075575,-2.80552E-05,GOOD,
C1631_A,2235,108.6555,147.0573,93.83589,-0.00393645,-0.002600242,GOOD,
C1631_A,2236,114.9098,146.179,99.8334,-0.002145057,-0.006403041,GOOD,
C1631_B,2237,105.982,135.8333,99.08994,-0.006765637,-0.003468615,GOOD,
C1631_B,2238,117.9147,144.5823,103.5754,0.001253616,-0.007215303,GOOD,
C1632_A,2239,103.993,124.0138,106.4971,0.002670647,-0.01435743,GOOD,
C1632_A,2240,115.8189,139.9001,105.1394,-0.01226547,-0.008200753,GOOD,
C1632_B,2241,111.7507,123.8878,114.558,0.01207522,-0.006542078,GOOD,
C1632_B,2242,116.6797,128.6287,115.2023,-0.005187648,-0.008669099,GOOD,
C1633_A,2243,118.0862,147.5485,101.6408,0.009541158,-0.01984696,GOOD,
C1633_A,2244,121.7094,150.8553,102.463,0.01180693,-0.01523434,GOOD,
C1633_B,2245,127.0796,146.6836,110.0266,-0.00531446,-0.006625005,GOOD,
C1633_B,2246,124.6662,147.5234,107.3226,-0.0045023,-0.003741813,GOOD,
C1634,2247,120.7851,142.6582,107.5277,0.003738909,0.004823617,GOOD,
C1634,2248,125.6549,153.5608,103.9209,0.006535149,0.01271215,GOOD,
C1634_A,2249,105.7291,142.4568,94.25731,-0.01310325,-0.01020582,GOOD,
C1634_A,2250,117.8866,155.8952,96.03635,-0.01032651,0.007593389,GOOD,
C1634_B,2251,120.8724,141.1506,108.7547,-0.009000923,0.0008708104,GOOD,
C1634_B,2252,120.822,147.3698,104.1217,-0.006235172,0.008591047,GOOD,
C1635_A,2253,121.1781,152.8354,100.6941,-0.008343645,-0.02268016,GOOD,
C1635_A,2254,121.771,169.2458,91.37544,-0.005587625,-0.008120264,GOOD,
C1635_B,2255,115.1572,137.0685,106.6982,-0.01185572,0.01243163,GOOD,
C1635_B,2256,119.5745,149.0564,101.8807,-0.006791251,0.01027534,GOOD,
C1637_A,2257,107.5128,142.9022,95.54873,0.002851125,-0.0121743,GOOD,
C1637_A,2258,119.0915,154.8209,97.69106,0.00568153,-0.001341594,GOOD,
C1637_B,2259,108.3955,131.8652,104.3962,-0.001870673,0.005587102,GOOD,
C1637_B,2260,118.5931,148.8236,101.2025,0.0008609517,0.01359273,GOOD,
C1638_A,2261,113.2762,142.0938,101.2435,0.0003804763,-0.00700309,GOOD,
C1638_A,2262,114.8949,140.816,103.6221,0.002653584,-0.01780408,GOOD,
C1638_B,2263,120.0157,135.0313,112.8776,0.004008417,0.009344761,GOOD,
C1638_B,2264,121.9164,139.761,110.7847,0.006332734,-0.007717779,GOOD,
C1639_A,2265,123.4805,155.7911,100.6606,-0.007921691,-0.009759434,GOOD,
C1639_A,2266,115.9802,143.9192,102.3455,-0.005653479,-0.01501847,GOOD,
C1639_B,2267,121.9786,140.6149,110.1682,-0.004553508,0.005246823,GOOD,
C1639_B,2268,118.7785,140.8595,107.0916,-0.002180421,0.008093427,GOOD,
C163_A,2269,116.8792,138.5934,107.1022,0.004153531,-0.001622107,GOOD,
C163_A,2270,121.295,148.6479,103.6305,-0.005077879,0.001314758,GOOD,
C163_B,2271,129.3431,149.103,110.1693,0.00508643,-0.005550514,GOOD,
C163_B,2272,138.9691,173.0882,101.9658,-0.004747412,-0.002581938,GOOD,
C164,2273,108.3873,133.9636,102.7532,0.009131411,-0.004461397,GOOD,
C164,2274,116.4669,150.9417,97.99344,-0.008018035,-0.006465226,GOOD,
C1640,2275,116.1312,143.0835,103.0773,-0.01137037,-0.004368699,GOOD,
C1640,2276,121.6892,150.2331,102.8703,-0.008602165,-0.006493281,GOOD,
C1640_A,2277,123.113,145.3865,107.5433,-0.002519439,-0.003685703,GOOD,
C1640_A,2278,131.1013,160.748,103.5774,0.008169261,-0.001430616,GOOD,
C1640_B,2279,120.755,134.6627,113.8837,0.01140696,-0.001570872,GOOD,
C1640_B,2280,130.3092,156.3171,105.8698,0.01224839,0.0006073832,GOOD,
C1641,2281,117.5036,143.3873,104.0745,-0.01440929,0.001170845,GOOD,
C1641,2282,118.256,147.6484,101.718,-0.01170695,-0.0009903448,GOOD,
C1641_A,2283,110.4133,148.8245,94.22166,-0.01073747,-0.02071168,GOOD,
C1641_A,2284,120.3434,156.4204,97.70856,-0.00795218,0.002785618,GOOD,
C1641_B,2285,109.882,131.3127,106.2732,0.005355918,-0.006803068,GOOD,
C1641_B,2286,125.9025,151.403,105.6096,0.008183886,0.00109767,GOOD,
C1642_A,2287,114.3518,151.7634,95.69289,-0.008972892,-0.009337448,GOOD,
C1642_A,2288,112.959,145.2997,98.7324,-0.006716866,-0.01596123,GOOD,
C1642_B,2289,117.2955,141.6677,105.1512,-0.002396263,-0.01563804,GOOD,
C1642_B,2290,120.6023,143.3379,106.8559,-0.000132926,-0.01266459,GOOD,
C1644,2291,111.0458,136.743,103.1338,-0.01015212,0.002339232,GOOD,
C1644,2292,118.4339,151.3339,99.39024,-0.007321716,8.782239E-05,GOOD,
C1644_A,2293,116.6928,147.2064,100.6749,-0.002198703,-0.01584294,GOOD,
C1644_A,2294,114.4994,138.9353,104.6633,0.0001012179,-0.01223285,GOOD,
C1644_B,2295,122.2722,134.2476,115.6711,0.001354834,0.003502764,GOOD,
C1644_B,2296,121.9768,136.6419,113.3697,0.003686462,0.006424982,GOOD,
C1645,2297,114.2379,136.9592,105.9309,0.01111061,0.009567964,GOOD,
C1645,2298,116.225,145.4964,101.4497,0.01381784,0.007468979,GOOD,
C1645_A,2299,116.889,140.2855,105.8192,-0.001797507,-0.01871514,GOOD,
C1645_A,2300,121.6573,150.8089,102.4507,0.000880452,-0.0004341963,GOOD,
C1645_B,2301,113.2885,130.9217,109.895,-0.000329248,-0.001358659,GOOD,
C1645_B,2302,122.1347,146.5624,105.8328,-0.002459679,-0.001756268,GOOD,
C1646,2303,113.4938,135.4087,106.446,-0.003860847,0.0007878837,GOOD,
C1646,2304,113.0181,144.0962,99.60915,-0.001141429,-0.001297673,GOOD,
C1646_A,2305,122.5444,153.3273,101.5028,0.0002194986,-0.01907128,GOOD,
C1646_A,2306,115.5174,142.8606,102.6925,-0.007468048,-0.01556364,GOOD,
C1646_B,2307,122.3366,142.4058,109.1019,-0.002810885,-0.003502764,GOOD,
C1646_B,2308,117.8326,139.2707,107.4507,-0.001125565,-0.0006390752,GOOD,
C1647,2309,113.529,140.6753,102.4926,-0.006818084,0.005568818,GOOD,
C1647,2310,114.5462,151.9073,95.76476,-0.003994991,0.01337442,GOOD,
C1647_A,2311,129.8181,152.5611,108.0675,0.01083501,-0.0228082,GOOD,
C1647_A,2312,113.6854,142.3271,101.4427,0.003108445,-0.02207643,GOOD,
C1647_B,2313,123.7264,145.2994,108.144,7.072867E-05,-0.01172304,GOOD,
C1647_B,2314,118.231,141.3457,106.2313,-0.01281911,-0.008815449,GOOD,
C1648_A,2315,111.2154,135.8051,104.0046,0.01045332,-0.01803704,GOOD,
C1648_A,2316,118.022,153.304,97.7717,0.01316422,0.002425836,GOOD,
C1648_B,2317,116.3347,136.2369,108.4472,-0.005854696,-0.003095404,GOOD,
C1648_B,2318,118.272,145.9903,102.8872,-0.003073081,0.004717511,GOOD,
C1649_A,2319,104.0568,137.2765,96.26716,0.007653422,-0.01440743,GOOD,
C1649_A,2320,115.6878,151.4803,96.99183,0.01031917,0.001837976,GOOD,
C1649_B,2321,112.819,134.2109,106.7574,-0.009682615,-0.004366261,GOOD,
C1649_B,2322,119.2901,147.8341,102.4787,-0.006965635,0.003532039,GOOD,
C164_A,2323,117.2159,140.5312,105.9296,0.01081186,0.002042874,GOOD,
C164_A,2324,124.2074,148.6663,106.1057,0.01081429,0.0004597937,GOOD,
C164_B,2325,111.2319,140.1725,100.7791,0.008072918,0.0004415098,GOOD,
C164_B,2326,113.1907,146.9193,97.84434,0.001392636,0.003373479,GOOD,
C165,2327,110.5643,138.9933,101.024,0.006797345,-0.01711621,GOOD,
C165,2328,112.0065,147.2944,96.57415,-0.01034966,-0.004149173,GOOD,
C1650_A,2329,123.5315,154.706,101.4084,-0.005380314,-0.01886151,GOOD,
C1650_A,2330,111.3219,142.8956,98.93853,-0.003104789,-0.01143278,GOOD,
C1650_B,2331,120.8491,147.2686,104.2166,-0.001768237,-0.009044746,GOOD,
C1650_B,2332,115.0818,138.2417,105.7234,0.0006268079,-0.006190809,GOOD,
C1651_A,2333,115.3754,142.8684,102.5606,0.006651013,-0.0204092,GOOD,
C1651_A,2334,119.8649,145.5823,104.5652,0.004463279,-0.009460639,GOOD,
C1651_B,2335,121.3652,136.2707,113.1086,0.00875581,0.008376378,GOOD,
C1651_B,2336,121.4499,141.0249,109.3717,0.0111033,0.01126446,GOOD,
C1652_A,2337,114.4049,144.3002,100.6888,0.006387598,-0.01815046,GOOD,
C1652_A,2338,127.2246,158.3927,102.0093,0.009099703,-0.002350223,GOOD,
C1652_B,2339,114.4336,135.8139,107.0072,0.009916759,-0.007649499,GOOD,
C1652_B,2340,132.3682,160.0573,105.0296,-0.004487654,0.0001683112,GOOD,
C1653_A,2341,111.0268,141.285,99.80117,-0.005990059,-0.02389368,GOOD,
C1653_A,2342,115.9975,150.1336,98.12388,-0.003336475,-0.0007830079,GOOD,
C1653_B,2343,112.5812,131.9514,108.3566,-0.003509641,0.003107613,GOOD,
C1653_B,2344,124.1967,147.6384,106.8352,-0.0007950981,0.0009732598,GOOD,
C1654_A,2345,118.1523,153.0613,98.0348,0.001356052,-0.01036438,GOOD,
C1654_A,2346,112.9012,143.375,100.0066,0.003643785,-0.005727358,GOOD,
C1654_B,2347,120.7905,140.0058,109.5697,0.007818036,0.005298058,GOOD,
C1654_B,2348,124.0636,147.1124,107.1023,0.01005943,0.008233683,GOOD,
C1655_A,2349,108.34,137.5933,99.99898,0.01255692,-0.01833951,GOOD,
C1655_A,2350,114.9459,152.9095,95.46905,0.01531659,0.006315219,GOOD,
C1655_B,2351,119.3873,136.3259,111.2201,-0.002991363,0.01028387,GOOD,
C1655_B,2352,119.9466,145.8108,104.4725,-0.0001585401,0.008098302,GOOD,
C1656_A,2353,106.4416,134.2001,100.7309,0.01588242,-0.01652226,GOOD,
C1656_A,2354,114.3691,147.3736,98.55817,-0.001371916,0.000265885,GOOD,
C1656_B,2355,111.2445,129.0958,109.4385,-0.0002926649,0.004549199,GOOD,
C1656_B,2356,115.018,141.7548,103.0462,0.00248895,0.00237582,GOOD,
C1657_A,2357,108.8759,147.1739,93.9517,-0.008361927,-0.01201574,GOOD,
C1657_A,2358,121.6423,157.9339,97.81669,-0.005532761,-0.002222156,GOOD,
C1657_B,2359,110.978,135.1678,104.2719,-0.01338007,0.005477339,GOOD,
C1657_B,2360,116.8227,148.176,100.1274,-0.01064357,0.01343173,GOOD,
C1658_A,2361,117.5277,150.0529,99.47171,0.004280343,-0.01699426,GOOD,
C1658_A,2362,112.9885,143.6471,99.89442,0.006555888,-0.01741625,GOOD,
C1658_B,2363,120.5828,140.7659,108.7907,0.01060576,0.01190476,GOOD,
C1658_B,2364,118.3912,140.3376,107.1394,0.002820635,0.0148026,GOOD,
C1659_A,2365,103.3403,137.6798,95.32426,-0.007490006,-0.01789313,GOOD,
C1659_A,2366,116.3173,150.4434,98.1917,-0.004705954,0.009305736,GOOD,
C1659_B,2367,108.476,130.8872,105.2544,-0.001819445,-0.00171968,GOOD,
C1659_B,2368,124.5301,152.4867,103.7161,0.006087621,-0.003501545,GOOD,
C165_A,2369,116.7094,138.5722,106.963,0.007911941,-0.001376963,GOOD,
C165_A,2370,124.6047,149.5459,105.819,0.01016431,0.001568434,GOOD,
C165_B,2371,108.896,134.1393,103.1002,0.005073004,-0.006876243,GOOD,
C165_B,2372,115.027,150.3586,97.15725,0.007399757,-0.003956463,GOOD,
C166,2373,111.8512,137.5596,103.2651,-0.01207035,-0.009632607,GOOD,
C166,2374,108.9493,145.279,95.24135,-0.009353368,-0.004402849,GOOD,
C1661_A,2375,122.7655,153.6038,101.5029,-0.006570514,-0.01566731,GOOD,
C1661_A,2376,118.9977,152.7119,98.96216,-0.01422759,-0.01327685,GOOD,
C1661_B,2377,124.1079,144.5399,109.0475,-0.008928975,-0.0007768934,GOOD,
C1661_B,2378,116.7475,143.2098,103.5329,-0.008277792,0.002197758,GOOD,
C1662_A,2379,105.013,140.5925,94.8603,-0.0149483,-0.01695402,GOOD,
C1662_A,2380,119.6586,158.4763,95.89223,-0.01227766,-0.00339422,GOOD,
C1662_B,2381,114.2944,138.5064,104.7993,-0.002151151,0.0006366374,GOOD,
C1662_B,2382,116.6096,142.4487,103.9632,0.0005780371,-0.001390371,GOOD,
C1663_A,2383,117.9401,146.7954,102.0359,0.002814542,-0.01210966,GOOD,
C1663_A,2384,114.328,144.8839,100.2158,-0.004886432,-0.01028633,GOOD,
C1663_B,2385,116.5394,136.9775,108.0506,-0.0009536183,-0.01779799,GOOD,
C1663_B,2386,119.2444,140.5981,107.7116,0.001186543,-0.01500871,GOOD,
C1665_A,2387,113.7071,150.5973,95.89016,-0.007585131,-0.01372079,GOOD,
C1665_A,2388,128.1938,177.0746,91.94209,-0.004780339,-0.00967407,GOOD,
C1665_B,2389,119.9387,138.5579,109.9339,0.01090942,0.006650622,GOOD,
C1665_B,2390,132.3922,158.7776,105.8953,0.0009048475,0.004523582,GOOD,
C1666_A,2391,108.7539,141.7076,97.46648,0.001362146,-0.0108132,GOOD,
C1666_A,2392,124.6275,157.638,100.4053,0.004102303,-0.001890409,GOOD,
C1666_B,2393,111.2897,133.686,105.7238,0.005266908,0.002192882,GOOD,
C1666_B,2394,129.9668,155.7639,105.9666,0.008048523,-2.437846E-06,GOOD,
C1667_A,2395,126.0898,154.057,103.9447,-0.002738938,-0.01987136,GOOD,
C1667_A,2396,112.9558,143.4559,99.99861,-0.0005292463,-0.007928792,GOOD,
C1667_B,2397,122.7048,149.534,104.2138,-0.00646564,0.005165115,GOOD,
C1667_B,2398,112.6865,135.8225,105.3668,-0.004165719,0.008219056,GOOD,
C1668_A,2399,117.6847,147.5738,101.2779,0.01206303,-0.01514531,GOOD,
C1668_A,2400,117.3902,145.5957,102.3969,0.00437303,-0.01725769,GOOD,
C1668_B,2401,124.6411,143.3892,110.3948,-0.00411451,-0.000861059,GOOD,
C1668_B,2402,123.7126,145.6819,107.848,-0.001698727,0.002027008,GOOD,
C1669_A,2403,104.9015,144.138,92.42872,-0.008419249,-0.01492089,GOOD,
C1669_A,2404,122.7236,175.1065,89.00814,-0.005599813,-0.0008952088,GOOD,
C1669_B,2405,113.5249,131.0461,110.0198,0.009526533,-0.004493109,GOOD,
C1669_B,2406,124.608,150.7347,104.9872,-0.005504708,-0.006614035,GOOD,
C166_A,2407,120.4832,144.2612,106.0671,-0.003057217,-0.0004463855,GOOD,
C166_A,2408,125.3126,151.4984,105.0487,-0.003825482,0.002458767,GOOD,
C166_B,2409,114.7522,137.2876,106.1532,0.01209474,-0.009516729,GOOD,
C166_B,2410,114.2931,146.1205,99.33738,0.004334009,-0.006600606,GOOD,
C167,2411,112.611,142.7441,100.1905,-0.01171914,-0.001877001,GOOD,
C167,2412,115.8752,147.3893,99.84544,-0.008943621,0.0059969,GOOD,
C1670_A,2413,111.076,147.5689,95.59369,-0.004892526,-0.01075222,GOOD,
C1670_A,2414,117.7998,155.9255,95.94693,-0.002110911,0.003290552,GOOD,
C1670_B,2415,113.1487,134.8871,106.5327,0.01129233,-0.00612129,GOOD,
C1670_B,2416,123.3616,148.1658,105.7391,0.01412028,0.001734307,GOOD,
C1671_A,2417,107.1755,144.9068,93.93133,0.0003975391,-0.01069854,GOOD,
